Rasmus Ristolainen,1408,3,17,162,142,86,0.15553977
Travis Boyd,1355,15,19,39,59,94,0.15553505
Andrew Copp,1489,9,33,32,45,120,0.15446608
Paul Stastny,867,9,13,21,18,80,0.15426758
Calen Addison,999,3,26,19,38,77,0.1539039
Nils Lundkvist,979,6,10,49,67,94,0.1529622
Juuso Välimäki,1418,4,30,53,98,93,0.15285613
Mattias Janmark,968,10,15,20,26,79,0.15237603
Drew Doughty,2125,9,43,115,104,145,0.15188235
Ben Chiarot,1566,5,14,147,163,110,0.15181992
Nick Jensen,1587,5,24,107,128,109,0.1510712
Brayden McNabb,1627,1,16,201,197,89,0.15104486
Alexander Edler,946,2,9,106,104,56,0.15063424
Cole Sillinger,852,3,8,105,36,93,0.15052816
Mattias Ekholm,1675,9,23,91,104,135,0.1502985
Nikita Zadorov,1532,14,7,174,75,130,0.15013054
Joel Edmundson,1194,2,11,112,149,69,0.14991624
Kyle Burroughs,833,2,3,165,84,47,0.1497599
Jake Sanderson,1688,4,28,43,147,132,0.1494372
Jamie Oleksiak,1444,9,16,126,115,76,0.14923822
Trevor van Riemsdyk,1430,7,16,21,160,97,0.14912587
Mark Giordano,1478,4,20,60,147,107,0.14884979
Timothy Liljegren,1200,6,12,107,93,84,0.14854166
Dylan DeMelo,1467,6,21,120,102,93,0.14826175
Alec Martinez,1480,3,11,48,244,76,0.14763513
Alexander Wennberg,1533,13,25,43,63,101,0.14758643
Adam Pelech,1321,6,15,77,110,97,0.14742619
Josh Brown,1072,4,3,152,118,68,0.14738805
William Borgen,1342,3,17,203,89,76,0.14735469
Erik Černák,1347,2,14,209,100,87,0.14606533
Josh Bailey,969,8,17,11,31,72,0.14576883
Scott Mayfield,1724,6,18,107,168,119,0.14573665
Esa Lindell,1633,8,16,87,147,116,0.14528475
Zach Whitecloud,1010,5,7,90,97,64,0.1450495
Matt Grzelcyk,1292,4,22,51,78,102,0.14454334
Ryan Pulock,1714,5,21,140,128,126,0.14439906
Pierre-Olivier Joseph,1144,5,16,88,36,108,0.1437937
David Savard,1388,3,17,61,176,63,0.14355187
Philipp Kurashev,1219,9,16,38,34,116,0.1419196
Erik Johnson,1087,0,8,121,102,98,0.14190432
Joel Kiviranta,851,8,1,117,20,85,0.14189189
David Kämpf,1255,7,20,74,29,107,0.14183266
Damon Severson,1616,7,26,44,115,102,0.14170792
Cam Fowler,1982,10,38,18,104,130,0.14152371
Carson Soucy,1271,3,13,143,96,87,0.14142407
Colin Miller,1325,6,15,108,70,106,0.14113207
Colton Parayko,1817,4,23,115,144,133,0.13992845
Brett Kulak,1436,3,17,105,106,114,0.13979805
Ilya Lyubushkin,1021,2,12,99,104,41,0.13932419
Andrew Peeke,1700,6,7,180,197,90,0.13911764
Derek Forbort,958,5,7,106,88,38,0.13883089
Jani Hakanpää,1585,6,10,224,128,86,0.13880126
Sebastian Aho,1191,5,18,38,69,89,0.13853904
Nicolas Hague,1465,3,14,117,133,103,0.1383959
J.J. Moser,1726,7,24,80,137,93,0.13818076
Oliver Ekman-Larsson,1090,2,20,58,43,90,0.13761467
Connor Murphy,1551,7,6,165,160,85,0.13749194
Brenden Dillon,1606,2,21,198,108,83,0.1351183
Pierre-Édouard Bellemare,824,4,9,67,48,51,0.13501213
Jalen Chatfield,1102,6,8,78,63,93,0.13475499
Luke Glendening,844,3,3,114,60,65,0.13447867
Brandon Carlo,1412,3,13,128,116,94,0.13420679
Ivan Provorov,1888,6,21,97,162,115,0.13387182
Josh Mahura,1151,4,12,101,70,78,0.13314509
Ian Cole,1512,3,14,117,123,109,0.13277116
Erik Brännström,1192,2,16,49,103,74,0.1323406
Travis Sanheim,1653,7,16,61,137,111,0.13233514
Dmitry Kulikov,1305,3,13,96,108,84,0.1321839
Caleb Jones,1402,4,12,116,118,86,0.13195435
Olli Määttä,1459,6,17,78,128,62,0.13193968
Ryan Lindgren,1187,1,17,68,92,75,0.13142375
Jonas Siegenthaler,1612,4,17,101,151,84,0.13135856
Nate Schmidt,1311,7,12,45,85,101,0.13100686
Ryan McDonagh,1529,2,18,63,165,78,0.13096795
Nick Holden,1086,2,14,79,69,73,0.13052486
Michael Anderson,1668,5,15,162,129,90,0.13039568
Jaccob Slavin,1671,7,20,36,103,131,0.13016157
Dante Fabbro,1378,2,9,113,129,101,0.13007982
Jacob Middleton,1504,3,12,115,155,79,0.12982047
Brian Dumoulin,1693,1,24,123,142,82,0.12950383
Brett Pesce,1805,5,25,37,110,144,0.12950138
Dylan Samberg,940,2,6,91,93,49,0.12845744
Simon Benoit,1509,3,7,216,128,82,0.12823061
Nils Åman,864,4,12,44,41,50,0.12789351
Jordan Harris,1212,4,13,53,98,70,0.12726897
Erik Gudbranson,1491,1,12,119,137,102,0.12726358
Matt Benning,1523,1,23,102,125,58,0.12508207
Ethan Bear,1130,3,13,39,82,75,0.12455752
Jonas Brodin,1372,3,11,50,130,90,0.12317784
Cameron York,1061,2,18,44,69,42,0.12205466
Ryan Suter,1671,3,22,81,115,92,0.12163375
Tyler Myers,1631,1,16,93,144,100,0.12124463
